id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1,Aali,H,4,207,Madanpur Khadar,"Rs. 23,280 Per Square Meter",23280,Central
2,AB Extn Colony,F,8,37,Sultanpuri East,"Rs. 56,640 Per Square Meter",56640,Rohini
3,Abhey Garden,G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
4,Abul Fazal Enclave,F,4,208,Savita Vihar,"Rs. 56,640 Per Square Meter",56640,Central
5,Acharya Niketan,F,1,220,Patparganj,"Rs. 56,640 Per Square Meter",56640,Shahadra South
6,Adarsh Bhawan coop. H.B. Society,E,10,103,Madipur A,"Rs. 70,070 Per Square Meter",70070,West
7,Adarsh Nagar,E,6,14,Adarsh Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
8,Adarsh Nagar Bindapur Extn,G,9,148,Madhu Vihar,Rs. 46200 Per Square Meter,46200,Nazafgarh
9,Adarsh Nagar Extension,F,6,14,Adarsh Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
10,AdhChini,E,3,161,Malviya Nagar,"Rs. 70,070 Per Square Meter",70070,South
11,AGCR Enclave,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
12,Ahata Thakur Das Sarai Rohilla,D,12,91,Karol Bagh,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
13,Ahera Kishan,G,4,199,Tekhand,Rs. 46200 Per Square Meter,46200,Central
14,Air India Colony,F,9,143,Kapashera,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
15,Ajanta Park,D,10,114,Tilak Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
16,Ajay Enclave,E,10,114,Tilak Nagar,"Rs. 70,070 Per Square Meter",70070,West
17,Ajay Nagar Nangloi,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
18,Ajit Nagar,F,1,233,Dharam Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
19,Ajmere Gate,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
20,Akal Garh,G,10,109,Janakpuri North,Rs. 46200 Per Square Meter,46200,West
21,Akash Vihar Ranhola,G,10,122,Hastsal,Rs. 46200 Per Square Meter,46200,West
22,Akbar Pur Majra,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
23,Alaknanda,C,4,190,Chitranjan Park,"Rs. 1,59,840 Per Square Meter",159840,Central
24,Ali Extension,G,4,207,Madanpur Khadar,Rs. 46200 Per Square Meter,46200,Central
25,Aliganj,E,4,158,Kotla Mubarakpur,"Rs. 70,070 Per Square Meter",70070,Central
26,Alipur Village,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
27,"Adhyapak Nagar, Nangloi",G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
28,"Agar Nagar, Mubarkapur Road",G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
29,"Ahinsha Enclave, Mehrauli",F,3,170,Mehrauli I,"Rs. 56,640 Per Square Meter",56640,South
30,"Ajit Vihar, Burari",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
31,Ali Vihar Badarpur,G,4,207,Madanpur Khadar,Rs. 46200 Per Square Meter,46200,Central
32,"Aman Puri, Najafgarh Road",G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
33,Aman Vihar (Kailash Vihar),G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
34,Amar Colony,F,2,263,Saboli,"Rs. 56,640 Per Square Meter",56640,Shahadra North
35,"Amar Colony, Lajpat Nagar",D,4,160,Amar Colony,"Rs. 1,27,680 Per Square Meter",127680,Central
36,Amar Colony (Mundka),G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
37,"Amar Colony, Rohtak Road",G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
